"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C6orf154",-1.48123268470583,4.86724695652174,-10.1149990900735,7.44747268664629e-22,3.36938405399115e-21,38.381029677475
"FXYD5",1.03813142995589,10.7464010869565,10.1115024491328,7.66826868257348e-22,3.46644908660752e-21,38.3520809929628
"ISLR2",-1.2429291346816,4.96343717391304,-10.1097173044137,7.78348517105082e-22,3.51662213538652e-21,38.3373042379892
"MFAP4",-1.9965953864987,9.380815,-10.0974860675979,8.62048877264978e-22,3.88845034364034e-21,38.2361033454922
"TMEM145",-2.13832577082963,4.04463608695652,-10.0934625551743,8.91489619640882e-22,4.01906997313039e-21,38.2028299783637
"SNHG3",1.03033060365714,5.4395997826087,10.0892233868055,9.23588474483185e-22,4.16152510571356e-21,38.1677823371482
"CAPS2",-1.16935919257352,4.97016108695652,-10.0881544954308,9.31861570016178e-22,4.19766554549789e-21,38.158946679388
"CDH6",-1.00876699905639,5.99194260869565,-10.0875292106005,9.36735261146996e-22,4.2184776036498e-21,38.1537782337023
"OXCT1",1.04971041799496,9.37434260869565,10.08219967338,9.79315795975211e-22,4.40784821342372e-21,38.1097339235778
"TMEM184A",-1.49580728367041,8.25664304347826,-10.0807760433916,9.91011498305987e-22,4.45928375657426e-21,38.0979712869699
"FAM131B",-1.42323626788402,5.36800456521739,-10.0798413316061,9.98765830670565e-22,4.49296118474133e-21,38.0902488768509
"PLA2G7",1.63668544541073,6.49947608695652,10.0784203956268,1.01066937758008e-21,4.54528066025204e-21,38.0785102505998
"ADORA3",-1.04303921603632,7.08722586956522,-10.0777627930836,1.01622584633495e-21,4.56903487787453e-21,38.0730780265746
